"Dataset Name","Observation Date","Series Key","Series Display Name","Observation Value","Unit","Observation Status","Observation Status Comment","Sequence No.","Series name"
"Credit / Loans Classified by Borrowers","31-Mar-2025","TS_GP_BAM_CRLONBOR_M.CLB00044000","..................15- Manufacture of leather and related products","50510.842","Million PKR","Normal","","340","Scheduled Banks Loans to Manufacture of leather and related products"
"Credit / Loans Classified by Borrowers","31-Mar-2025","TS_GP_BAM_CRLONBOR_M.CLB00045000","..................16- Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials","9508.418","Million PKR","Normal","","350","Scheduled Banks Loans to Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials"
"Credit / Loans Classified by Borrowers","31-Mar-2025","TS_GP_BAM_CRLONBOR_M.CLB00046000","..................17- Manufacture of paper and paper products","145516.031","Million PKR","Normal","","360","Scheduled Banks Loans to Manufacture of paper and paper products"
"Credit / Loans Classified by Borrowers","31-Mar-2025","TS_GP_BAM_CRLONBOR_M.CLB00047000","..................18- Printing and reproduction of recorded media","20964.509","Million PKR","Normal","","370","Scheduled Banks Loans to Printing and reproduction of recorded media"
"Credit / Loans Classified by Borrowers","31-Mar-2025","TS_GP_BAM_CRLONBOR_M.CLB00048000","..................19- Manufacture of coke and refined petroleum products","173186.792","Million PKR","Normal","","380","Scheduled Banks Loans to Manufacture of coke and refined petroleum products"
"Credit / Loans Classified by Borrowers","31-Mar-2025","TS_GP_BAM_CRLONBOR_M.CLB00049000","......................... Manufacture of refined petroleum products","173186.292","Million PKR","Normal","","390","Scheduled Banks Loans to Manufacture of refined petroleum products"
"Credit / Loans Classified by Borrowers","31-Mar-2025","TS_GP_BAM_CRLONBOR_M.CLB00050000","..................20- Manufacture of chemicals and chemical products","421018.927","Million PKR","Normal","","400","Scheduled Banks Loans to Manufacture of chemicals and chemical products"
"Credit / Loans Classified by Borrowers","31-Mar-2025","TS_GP_BAM_CRLONBOR_M.CLB00051000","......................... Manufacture of fertilizers and nitrogen compounds","178787.213","Million PKR","Normal","","410","Scheduled Banks Loans to Manufacture of fertilizers and nitrogen compounds"
"Credit / Loans Classified by Borrowers","31-Mar-2025","TS_GP_BAM_CRLONBOR_M.CLB00052000","..................21- Manufacture of basic pharmaceutical products and pharmaceutical preparations","116040.078","Million PKR","Normal","","420","Scheduled Banks Loans to Manufacture of basic pharmaceutical products and pharmaceutical preparations"
"Credit / Loans Classified by Borrowers","31-Mar-2025","TS_GP_BAM_CRLONBOR_M.CLB00053000","..................22- Manufacture of rubber and plastics products","114255.977","Million PKR","Normal","","430","Scheduled Banks Loans to Manufacture of rubber and plastics products"
