"Dataset Name","Observation Date","Series Key","Series Display Name","Observation Value","Unit","Observation Status","Observation Status Comment","Sequence No.","Series name"
"Export and Import of Goods and Services","28-Feb-2025","TS_GP_BOP_XMGS_M.P00110","......8 Charges for the use of Intellectual Property n.i.e.","1","Million USD","Normal","","110","Exports of Services-Charges for the use of Intellectual Property n.i.e."
"Export and Import of Goods and Services","28-Feb-2025","TS_GP_BOP_XMGS_M.P00120","......9 Telecommunications, Computer, and Information Services","305","Million USD","Normal","","120","Exports of Services-Telecommunications, Computer, and Information Services"
"Export and Import of Goods and Services","28-Feb-2025","TS_GP_BOP_XMGS_M.P00130","......10 Other Business Services","118","Million USD","Normal","","130","Exports of Services-Other Business Services"
"Export and Import of Goods and Services","28-Feb-2025","TS_GP_BOP_XMGS_M.P00140","......11 Personal, Cultural, and Recreational Services","17","Million USD","Normal","","140","Exports of Services-Personal, Cultural, and Recreational Services"
"Export and Import of Goods and Services","28-Feb-2025","TS_GP_BOP_XMGS_M.P00150","......12 Government Goods and Services n.i.e.","88","Million USD","Normal","","150","Exports of Services-Government Goods and Services n.i.e."
"Export and Import of Goods and Services","28-Feb-2025","TS_GP_BOP_XMGS_M.P00160","............. of which: Logistic Support","0","Million USD","Normal","","160","Exports of Services-Government Goods and Services-of which: Logistic Support"
"Export and Import of Goods and Services","28-Feb-2025","TS_GP_BOP_XMGS_M.P00170","A. Exports of Goods and Services","3316","Million USD","Normal","","170","Exports of Goods and Services-Total"
"Export and Import of Goods and Services","28-Feb-2025","TS_GP_BOP_XMGS_M.P00180","1 Goods - Import (FOB)","5063","Million USD","Normal","","180","Goods - Import (FOB)"
"Export and Import of Goods and Services","28-Feb-2025","TS_GP_BOP_XMGS_M.P00190","2 Imports of Services","973","Million USD","Normal","","190","Imports of Services-Total"
"Export and Import of Goods and Services","28-Feb-2025","TS_GP_BOP_XMGS_M.P00200","......1 Manufacturing Services on Physical inputs owned by Others","0","Million USD","Normal","","200","Imports of Services-Manufacturing Services on Physical inputs owned by Others"
"Export and Import of Goods and Services","28-Feb-2025","TS_GP_BOP_XMGS_M.P00210","......2 Maintenance and Repair Services n.i.e.","5","Million USD","Normal","","210","Imports of Services-Maintenance and Repair Services n.i.e."
"Export and Import of Goods and Services","28-Feb-2025","TS_GP_BOP_XMGS_M.P00220","......3 Transport","387","Million USD","Normal","","220","Imports of Services-Transport"
"Export and Import of Goods and Services","28-Feb-2025","TS_GP_BOP_XMGS_M.P00230","......4 Travel","304","Million USD","Normal","","230","Imports of Services-Travel"
"Export and Import of Goods and Services","28-Feb-2025","TS_GP_BOP_XMGS_M.P00240","......5 Construction","3","Million USD","Normal","","240","Imports of Services-Construction"
"Export and Import of Goods and Services","28-Feb-2025","TS_GP_BOP_XMGS_M.P00250","......6 Insurance and Pension Services","16","Million USD","Normal","","250","Imports of Services-Insurance and Pension Services"
"Export and Import of Goods and Services","28-Feb-2025","TS_GP_BOP_XMGS_M.P00260","......7 Financial Services","75","Million USD","Normal","","260","Imports of Services-Financial Services"
"Export and Import of Goods and Services","28-Feb-2025","TS_GP_BOP_XMGS_M.P00270","......8 Charges for the use of Intellectual Property n.i.e.","11","Million USD","Normal","","270","Imports of Services-Charges for the use of Intellectual Property n.i.e."
"Export and Import of Goods and Services","28-Feb-2025","TS_GP_BOP_XMGS_M.P00280","......9 Telecommunications, Computer, and Information Services","27","Million USD","Normal","","280","Imports of Services-Telecommunications, Computer, and Information Services"
"Export and Import of Goods and Services","28-Feb-2025","TS_GP_BOP_XMGS_M.P00290","......10 Other Business Services","93","Million USD","Normal","","290","Imports of Services-Other Business Services"
"Export and Import of Goods and Services","28-Feb-2025","TS_GP_BOP_XMGS_M.P00300","......11 Personal, Cultural, and Recreational Services","1","Million USD","Normal","","300","Imports of Services-Personal, Cultural, and Recreational Services"
"Export and Import of Goods and Services","28-Feb-2025","TS_GP_BOP_XMGS_M.P00310","......12 Government Goods and Services n.i.e.","51","Million USD","Normal","","310","Imports of Services-Government Goods and Services n.i.e."
"Export and Import of Goods and Services","28-Feb-2025","TS_GP_BOP_XMGS_M.P00320","B. Imports of Goods and Services","6036","Million USD","Normal","","320","Imports of Goods and Services-Total"
"Export and Import of Goods and Services","31-Jan-2025","TS_GP_BOP_XMGS_M.P00010",". Goods and Services Balance (A-B)","-2783","Million USD","Normal","","10","Goods and Services Balance"
"Export and Import of Goods and Services","31-Jan-2025","TS_GP_BOP_XMGS_M.P00020","1 Goods - Export (FOB)","2992","Million USD","Normal","","20","Goods - Export (FOB)"
"Export and Import of Goods and Services","31-Jan-2025","TS_GP_BOP_XMGS_M.P00030","2 Exports of Services","692","Million USD","Normal","","30","Exports of Services-Total"
