"Dataset","Series Key","Series","Observation Date","Observation Value","Unit","Observation Status","Observation Status Comment"
"Inflation Snapshot (New Base: 2015-16)","TS_GP_PT_CPI_M.P00011516","CPI National -YoY","31-Oct-2017","4.83","Percent","Normal",""
"Inflation Snapshot (New Base: 2015-16)","TS_GP_PT_CPI_M.P00011516","CPI National -YoY","30-Sep-2017","4.66","Percent","Normal",""
"Inflation Snapshot (New Base: 2015-16)","TS_GP_PT_CPI_M.P00011516","CPI National -YoY","31-Aug-2017","4.39","Percent","Normal",""
"Inflation Snapshot (New Base: 2015-16)","TS_GP_PT_CPI_M.P00011516","CPI National -YoY","31-Jul-2017","3.86","Percent","Normal",""
"Inflation Snapshot (New Base: 2015-16)","TS_GP_PT_CPI_M.P00011516","CPI National -YoY","30-Jun-2017","6.54","Percent","Normal",""
"Inflation Snapshot (New Base: 2015-16)","TS_GP_PT_CPI_M.P00011516","CPI National -YoY","31-May-2017","6.36","Percent","Normal",""
"Inflation Snapshot (New Base: 2015-16)","TS_GP_PT_CPI_M.P00011516","CPI National -YoY","30-Apr-2017","6.91","Percent","Normal",""
"Inflation Snapshot (New Base: 2015-16)","TS_GP_PT_CPI_M.P00011516","CPI National -YoY","31-Mar-2017","6.14","Percent","Normal",""
"Inflation Snapshot (New Base: 2015-16)","TS_GP_PT_CPI_M.P00011516","CPI National -YoY","28-Feb-2017","5.04","Percent","Normal",""
"Inflation Snapshot (New Base: 2015-16)","TS_GP_PT_CPI_M.P00011516","CPI National -YoY","31-Jan-2017","4.53","Percent","Normal",""
"Inflation Snapshot (New Base: 2015-16)","TS_GP_PT_CPI_M.P00011516","CPI National -YoY","31-Dec-2016","4.08","Percent","Normal",""
"Inflation Snapshot (New Base: 2015-16)","TS_GP_PT_CPI_M.P00011516","CPI National -YoY","30-Nov-2016","4.69","Percent","Normal",""
"Inflation Snapshot (New Base: 2015-16)","TS_GP_PT_CPI_M.P00011516","CPI National -YoY","31-Oct-2016","4.19","Percent","Normal",""
"Inflation Snapshot (New Base: 2015-16)","TS_GP_PT_CPI_M.P00011516","CPI National -YoY","30-Sep-2016","3.23","Percent","Normal",""
"Inflation Snapshot (New Base: 2015-16)","TS_GP_PT_CPI_M.P00011516","CPI National -YoY","31-Aug-2016","2.8","Percent","Normal",""
"Inflation Snapshot (New Base: 2015-16)","TS_GP_PT_CPI_M.P00011516","CPI National -YoY","31-Jul-2016","3.17","Percent","Normal",""
